,G3,failures,absences,studytime,G1,G2
2,10,3,10.0,2,7.0,8
3,15,0,2.0,3,15.0,14
4,10,0,4.0,2,6.0,10
5,15,0,10.0,2,15.0,15
6,11,0,0.0,2,12.0,12
7,6,0,6.0,2,6.0,5
8,19,0,0.0,2,16.0,18
9,15,0,0.0,2,14.0,15
10,9,0,0.0,2,10.0,8
11,12,0,4.0,3,10.0,12
12,14,0,2.0,1,14.0,14
14,16,0,0.0,3,14.0,16
15,14,0,4.0,1,14.0,14
16,14,0,6.0,3,13.0,14
17,10,0,4.0,2,8.0,10
18,5,3,16.0,1,6.0,5
19,10,0,4.0,1,8.0,10
20,15,0,0.0,2,13.0,14
21,15,0,0.0,1,12.0,15
22,16,0,2.0,2,15.0,15
23,12,0,0.0,2,13.0,13
25,8,2,14.0,1,6.0,9
26,11,0,2.0,1,12.0,12
27,15,0,4.0,1,15.0,16
28,11,0,4.0,2,11.0,11
29,11,0,16.0,2,10.0,12
30,12,0,0.0,2,9.0,11
31,17,0,0.0,2,17.0,16
32,16,0,0.0,2,17.0,16
33,12,0,0.0,2,8.0,10
34,15,0,0.0,1,12.0,14
35,6,0,0.0,1,8.0,7
36,18,0,2.0,3,15.0,16
37,15,0,7.0,3,15.0,16
38,11,0,2.0,3,12.0,12
39,13,0,8.0,1,14.0,13
40,11,1,20.0,2,7.0,10
41,12,0,8.0,1,12.0,12
42,18,0,2.0,2,19.0,18
43,11,0,0.0,1,8.0,8
44,9,1,14.0,2,10.0,10
45,6,0,8.0,2,8.0,8
46,11,0,12.0,2,11.0,12
47,20,0,4.0,4,19.0,19
48,14,0,2.0,2,15.0,15
49,7,1,2.0,2,7.0,7
50,13,0,2.0,2,12.0,13
51,13,0,2.0,2,11.0,13
52,10,1,6.0,1,11.0,11
53,11,0,0.0,1,8.0,10
54,13,0,6.0,1,10.0,13
55,10,0,8.0,2,8.0,9
56,15,0,0.0,2,14.0,15
57,15,0,4.0,2,14.0,15
58,9,0,2.0,2,9.0,10
59,16,0,2.0,2,15.0,16
60,11,0,6.0,2,10.0,11
61,11,0,6.0,1,10.0,8
62,9,0,4.0,2,8.0,10
63,9,0,2.0,3,10.0,9
64,10,0,0.0,2,10.0,10
65,15,0,2.0,2,16.0,15
66,12,0,4.0,4,13.0,13
67,6,0,4.0,4,7.0,7
68,8,0,2.0,2,8.0,9
69,16,0,12.0,4,16.0,16
70,15,0,0.0,4,13.0,15
71,10,0,0.0,4,10.0,10
72,5,2,2.0,2,8.0,6
73,14,0,2.0,1,12.0,12
74,11,0,20.0,2,11.0,12
75,10,0,6.0,2,9.0,9
76,10,0,8.0,4,11.0,11
77,11,0,0.0,4,11.0,11
78,10,3,2.0,1,8.0,8
79,5,0,12.0,2,5.0,5
80,12,0,2.0,1,10.0,12
81,11,0,4.0,3,11.0,10
82,6,0,10.0,2,7.0,6
83,15,0,4.0,2,15.0,15
84,10,0,2.0,2,9.0,10
85,8,2,6.0,2,7.0,9
86,6,0,4.0,2,8.0,7
87,14,0,4.0,3,13.0,14
88,10,1,12.0,2,11.0,10
89,7,0,18.0,2,8.0,6
90,8,0,0.0,3,7.0,7
